weather_score,time_score,accident_score,road_score,risk_level
3,2,0,2.0,Medium
1,1,1,2.0,Low
3,2,0,2.0,Medium
1,2,0,2.0,Low
3,2,0,1.0,Medium
2,2,0,1.0,Medium
3,1,2,2.0,Medium
3,2,0,1.0,Medium
1,2,0,2.0,Low
2,2,0,2.0,Low
3,2,0,2.0,Medium
1,2,0,2.0,Low
1,1,0,2.0,Low
1,2,0,1.0,Low
3,1,1,2.0,Medium
3,1,1,2.0,Medium
3,2,2,3.0,High
1,2,1,2.0,Medium
3,2,0,2.0,Medium
3,1,2,3.0,High
2,1,1,2.0,Low
3,2,2,3.0,Medium
3,2,2,3.0,Medium
3,2,0,2.0,High
1,2,0,2.0,Low
1,2,0,2.0,Low
2,2,0,2.0,Low
1,1,0,2.0,Medium
3,2,0,2.0,Medium
3,1,1,2.0,Medium
3,2,0,1.0,Medium
3,1,2,2.0,High
1,1,1,3.0,Medium
3,1,2,3.0,High
3,1,2,2.0,Medium
3,2,0,2.0,Medium
1,2,0,2.0,Medium
3,2,2,2.0,Medium
1,2,0,2.0,Medium
1,1,0,2.0,Low
1,2,0,1.0,Low
3,2,2,2.0,High
2,2,0,2.0,Low
1,2,0,2.0,Low
3,2,2,3.0,Medium
3,1,1,2.0,Medium
3,2,0,2.0,Medium
1,2,0,1.0,Medium
1,1,0,2.0,Low
1,1,1,3.0,Medium
2,2,0,2.0,Low
3,2,0,2.0,Medium
3,2,2,3.0,Medium
3,2,2,3.0,Medium
1,2,0,2.0,Medium
1,1,1,3.0,Medium
3,2,2,3.0,Medium
3,1,2,2.0,Medium
3,2,2,3.0,Medium
1,1,1,2.0,Low
3,1,2,2.0,Medium
3,2,2,2.0,Medium
1,2,1,2.0,Medium
3,2,0,1.0,Medium
3,2,0,1.0,Medium
3,2,2,2.0,Medium
1,1,0,2.0,Medium
3,1,2,2.0,Medium
3,1,1,2.0,Medium
3,1,1,2.0,Medium
3,1,1,2.0,Medium
3,2,0,1.0,Medium
1,1,1,3.0,Medium
3,2,0,2.0,Medium
3,2,0,1.0,Medium
3,2,0,2.0,Medium
1,1,0,2.0,Low
1,2,0,2.0,Low
3,1,1,2.0,Medium
2,2,2,3.0,Medium
3,2,0,1.0,Medium
3,1,0,2.0,Medium
3,1,1,2.0,Medium
3,1,1,2.0,Medium
3,1,1,2.0,Medium
3,2,0,2.0,Medium
1,2,0,1.0,Low
1,2,1,3.0,Medium
3,1,1,2.0,Medium
1,2,0,1.0,Low
3,1,2,3.0,High
2,2,2,3.0,Medium
3,1,0,1.0,Medium
1,2,0,2.0,Low
2,1,2,3.0,High
3,2,0,2.0,Medium
1,2,0,2.0,Low
1,2,1,2.0,Medium
1,2,1,2.0,Low
1,1,1,3.0,Medium
3,2,0,2.0,Medium
3,2,0,2.0,Medium
3,2,0,1.0,Medium
2,2,2,3.0,Low
2,1,2,2.0,High
1,1,0,2.0,Medium
2,2,0,2.0,Low
3,1,2,3.0,High
1,1,1,3.0,Low
3,2,2,2.0,Medium
2,1,1,2.0,Low
3,2,0,2.0,Medium
1,2,0,1.0,Low
1,2,0,1.0,Low
2,1,1,2.0,Medium
3,2,0,2.0,Medium
3,1,1,2.0,Medium
2,2,0,2.0,Low
3,1,1,2.0,Medium
3,2,0,2.0,Medium
1,1,1,3.0,Low
1,2,1,2.0,Medium
3,2,0,1.0,Medium
2,1,2,2.0,Medium
1,1,1,2.0,Low
2,2,0,2.0,Medium
1,2,0,2.0,Low
2,2,0,2.0,Low
3,1,2,2.0,High
3,2,0,2.0,Medium
1,2,1,3.0,Medium
3,2,0,2.0,Medium
1,1,1,3.0,Medium
1,1,1,3.0,Low
2,1,2,2.0,Medium
1,2,0,1.0,Low
3,2,0,2.0,Medium
2,1,2,3.0,Medium
3,2,0,2.0,Medium
3,1,2,2.0,High
3,2,0,2.0,Medium
1,2,0,2.0,Low
3,2,2,3.0,High
3,2,2,2.0,Medium
3,2,0,1.0,Medium
3,2,2,2.0,High
2,2,2,2.0,Medium
3,2,0,2.0,Medium
3,2,0,1.0,Medium
2,2,0,2.0,Low
1,1,1,3.0,Medium
1,2,0,1.0,Low
2,2,2,2.0,Medium
2,1,2,3.0,Medium
2,1,1,2.0,Medium
2,2,2,2.0,Medium
3,1,1,2.0,Medium
1,1,1,2.0,Low
2,2,0,1.0,Medium
2,2,0,2.0,Low
3,2,0,1.0,Medium
1,2,0,2.0,Medium
3,1,2,2.0,Medium
3,2,0,2.0,Medium
2,2,0,2.0,Low
3,1,0,1.0,Medium
1,2,1,2.0,Medium
3,1,2,3.0,Medium
3,2,0,2.0,Medium
3,2,2,2.0,Medium
1,2,1,2.0,Low
3,1,2,2.0,Medium
3,2,0,2.0,Medium
2,1,1,2.0,Low
3,1,2,2.0,High
1,2,0,1.0,Medium
3,2,0,1.0,Medium
3,2,2,2.0,Medium
3,1,2,2.0,High
1,1,1,2.0,Medium
3,1,2,2.0,Medium
3,1,2,2.0,Medium
3,1,1,2.0,Medium
1,2,1,2.0,Medium
3,2,0,2.0,Medium
3,1,2,2.0,Medium
1,1,1,2.0,Low
1,1,0,2.0,Medium
1,1,1,2.0,Medium
1,2,0,2.0,Low
3,1,1,2.0,Medium
1,2,0,2.0,Low
3,2,2,2.0,High
2,2,0,1.0,Low
2,2,0,2.0,Low
1,2,0,2.0,Low
3,1,1,2.0,Medium
3,2,2,2.0,Medium
3,2,2,2.0,Medium
3,1,1,2.0,Medium
3,2,0,2.0,Medium
3,2,0,2.0,Medium
3,2,0,1.0,Medium
2,2,0,2.0,Low
1,1,1,2.0,Medium
3,1,2,3.0,Medium
2,2,2,2.0,Medium
2,2,2,2.0,Medium
2,2,0,1.0,Low
2,2,0,1.0,Low
1,1,1,3.0,Low
1,2,0,1.0,Medium
2,2,0,2.0,Medium
2,1,1,2.0,Medium
3,2,2,3.0,High
3,1,1,2.0,Medium
2,1,1,2.0,Medium
2,2,2,3.0,Medium
3,2,2,3.0,Medium
2,2,0,1.0,Low
1,2,1,3.0,Medium
2,2,0,2.0,Low
3,1,2,2.0,Medium
3,2,2,2.0,Medium
3,2,0,1.0,Medium
3,1,1,2.0,Medium
3,1,1,2.0,Medium
3,1,2,2.0,Medium
2,1,2,2.0,Medium
3,2,0,2.0,Medium
3,1,1,2.0,Medium
1,2,0,1.0,Low
1,1,0,2.0,Low
3,2,0,2.0,Medium
3,2,2,2.0,Medium
1,1,1,3.0,Medium
1,2,0,1.0,Low
2,2,0,2.0,Low
3,2,2,3.0,High
3,2,2,3.0,Medium
1,2,1,2.0,Low
3,1,2,2.0,High
3,1,2,3.0,Medium
1,2,1,2.0,Low
3,1,2,2.0,High
3,1,1,2.0,Medium
2,2,0,2.0,Low
1,2,0,1.0,Low
3,1,1,2.0,Medium
1,2,1,2.0,Medium
3,2,0,2.0,Medium
2,1,2,3.0,Medium
1,2,0,2.0,Low
3,2,2,2.0,Medium
3,1,1,2.0,Medium
1,2,1,2.0,Low
1,2,1,2.0,Medium
3,1,1,2.0,Medium
1,1,0,2.0,Low
3,1,1,2.0,High
3,2,0,2.0,Medium
1,2,0,2.0,Low
1,1,1,2.0,Medium
3,1,1,2.0,Medium
2,1,1,2.0,Low
1,1,1,2.0,Low
3,1,0,2.0,Medium
3,2,2,3.0,High
1,2,0,2.0,Low
3,2,0,1.0,Medium
3,1,0,2.0,Medium
1,1,0,2.0,Medium
3,2,2,2.0,Medium
3,2,0,1.0,Medium
2,1,2,2.0,Medium
1,2,0,2.0,Medium
3,2,0,2.0,Medium
3,1,2,2.0,Medium
1,1,0,2.0,Medium
1,1,0,2.0,Low
2,1,2,3.0,Medium
2,2,2,2.0,Medium
2,1,2,3.0,Medium
3,2,2,3.0,High
1,1,0,2.0,Low
3,2,0,2.0,Medium
3,1,1,2.0,Medium
3,2,2,2.0,Medium
3,1,1,2.0,Medium
1,1,1,2.0,Low
1,2,1,3.0,Medium
2,1,2,2.0,Medium
2,2,2,3.0,Low
3,1,1,2.0,Medium
1,2,0,2.0,Low
3,1,1,2.0,Medium
3,2,0,2.0,Medium
3,1,2,2.0,High
3,1,2,3.0,High
1,2,0,2.0,Medium
3,1,2,2.0,Medium
1,2,1,3.0,Low
3,2,0,1.0,High
3,1,1,2.0,Medium
1,1,0,2.0,Low
3,1,2,2.0,High
2,2,0,1.0,Low
3,1,0,2.0,Medium
1,2,0,1.0,Low
2,2,0,2.0,Low
1,2,1,3.0,Medium
1,2,1,2.0,Low
1,1,0,2.0,Low
1,1,0,2.0,Low
1,1,0,2.0,Low
2,1,1,2.0,Low
1,2,1,2.0,Medium
3,2,0,2.0,Medium
3,1,1,2.0,Medium
3,2,0,1.0,Medium
3,2,2,2.0,High
3,1,1,2.0,Medium
3,2,2,3.0,High
3,1,1,2.0,Medium
1,2,0,1.0,Low
3,2,0,1.0,Medium
3,1,0,2.0,Medium
3,2,0,2.0,Medium
2,2,0,1.0,Medium
3,2,2,2.0,High
1,2,1,3.0,Medium
1,2,0,2.0,Low
3,2,0,2.0,Medium
2,1,1,2.0,Medium
1,2,0,2.0,Low
3,1,2,2.0,Medium
1,2,0,2.0,Medium
1,2,0,2.0,Low
2,2,2,3.0,Medium
3,2,2,2.0,High
3,2,0,2.0,Medium
2,2,0,1.0,Medium
3,2,0,2.0,Medium
1,1,1,2.0,Medium
1,2,0,1.0,Low
1,2,0,2.0,Low
1,1,0,2.0,Medium
3,2,0,2.0,Medium
3,2,2,3.0,Medium
2,1,1,2.0,Medium
3,2,0,2.0,Medium
3,1,1,2.0,Medium
3,1,2,3.0,Medium
1,2,1,2.0,Low
2,2,0,2.0,Low
1,2,0,2.0,Medium
2,2,0,2.0,Medium
3,1,2,2.0,High
3,2,0,2.0,Medium
1,2,0,1.0,Low
2,1,1,2.0,Medium
3,2,0,2.0,Medium
1,1,1,3.0,Medium
1,1,0,2.0,Medium
3,1,1,2.0,Medium
3,2,2,3.0,Medium
3,1,1,2.0,Medium
3,1,1,2.0,Medium
1,1,1,2.0,Low
2,1,1,2.0,Low
1,2,0,2.0,Low
3,2,0,2.0,Medium
3,1,2,3.0,High
3,2,0,1.0,Medium
1,2,1,3.0,Low
2,1,1,2.0,Medium
2,2,0,2.0,Low
3,2,0,1.0,Medium
3,2,0,1.0,Medium
1,2,1,2.0,Low
3,2,2,2.0,Medium
3,1,2,2.0,High
3,2,0,2.0,Medium
3,1,2,2.0,Medium
3,2,2,3.0,Medium
3,2,2,2.0,High
1,1,0,2.0,Medium
3,2,0,2.0,Medium
3,1,2,3.0,Medium
3,1,1,2.0,Medium
2,1,2,2.0,Medium
1,1,1,2.0,Medium
2,2,0,2.0,Low
3,2,0,2.0,Medium
3,1,2,3.0,Medium
2,2,0,2.0,Low
2,1,2,3.0,Medium
3,1,2,3.0,High
3,2,0,1.0,Medium
3,2,0,2.0,Medium
2,1,1,2.0,Low
2,2,0,2.0,Low
3,1,0,2.0,Medium
1,2,0,2.0,Low
3,2,0,2.0,Medium
2,1,2,2.0,Low
3,1,1,2.0,Medium
1,2,0,2.0,Low
3,2,2,2.0,Medium
2,1,2,2.0,Medium
2,2,0,1.0,Low
3,2,0,2.0,Medium
3,1,1,2.0,Medium
2,2,0,2.0,Low
3,2,0,2.0,Medium
1,2,0,2.0,Low
3,1,2,2.0,Medium
2,2,0,1.0,Medium
1,1,1,2.0,Medium
3,1,2,2.0,Medium
2,2,2,2.0,Medium
2,2,0,1.0,Low
2,2,0,2.0,Low
3,2,0,2.0,Medium
2,2,0,1.0,Low
3,1,2,3.0,Medium
3,2,0,2.0,Medium
3,2,0,2.0,Medium
3,2,2,2.0,High
2,2,0,2.0,Low
3,1,1,2.0,Medium
1,1,1,2.0,Medium
3,2,0,1.0,Medium
3,2,0,2.0,Medium
1,1,0,2.0,Medium
2,1,1,2.0,Medium
1,2,1,2.0,Low
3,1,2,3.0,High
3,2,0,2.0,Medium
2,2,0,2.0,Medium
3,2,0,1.0,Medium
3,2,0,2.0,Medium
3,2,2,3.0,High
1,2,0,1.0,Low
1,1,0,2.0,Low
3,1,2,2.0,High
1,2,0,2.0,Medium
1,1,0,2.0,Medium
3,1,1,2.0,Medium
3,1,1,2.0,Medium
3,2,2,2.0,Medium
2,1,1,2.0,Low
3,2,0,2.0,Medium
3,2,0,2.0,Medium
1,2,0,2.0,Low
3,1,2,2.0,High
3,1,1,2.0,Medium
1,2,0,1.0,Low
3,2,2,2.0,High
1,1,0,2.0,Medium
3,1,2,2.0,Medium
1,1,0,2.0,Low
3,2,0,1.0,Medium
1,2,1,2.0,Medium
1,2,0,1.0,Medium
1,2,0,2.0,Low
1,1,1,2.0,Low
3,1,2,2.0,Medium
3,2,0,2.0,Medium
1,2,0,2.0,Low
1,2,1,2.0,Low
1,1,0,2.0,Medium
3,2,0,2.0,Medium
1,2,0,1.0,Low
3,1,2,2.0,Medium
1,1,0,1.0,Low
1,1,0,2.0,Low
3,1,2,2.0,High
1,2,1,2.0,Low
1,1,0,2.0,Low
1,2,0,2.0,Low
2,2,0,2.0,Low
3,2,0,2.0,Medium
1,2,1,2.0,Medium
1,1,0,2.0,Low
3,1,1,2.0,Medium
2,2,0,2.0,Medium
3,2,0,1.0,Medium
3,1,2,3.0,Medium
1,1,1,3.0,Low
2,2,2,3.0,Medium
3,2,2,3.0,Medium
3,1,1,2.0,Medium
3,1,1,2.0,Medium
1,1,0,2.0,Medium
3,2,0,2.0,Medium
1,1,1,2.0,Medium
3,1,1,2.0,Medium
3,2,2,2.0,High
3,2,0,1.0,Medium
1,1,1,2.0,Low
1,2,0,1.0,Low
3,2,2,2.0,Medium
3,2,0,1.0,Medium
1,2,1,2.0,Medium
1,1,0,2.0,Medium
3,1,1,2.0,Medium
3,1,1,2.0,Medium
3,1,1,2.0,Medium
3,1,2,2.0,High
3,2,0,2.0,Medium
2,1,1,2.0,Low
3,2,0,2.0,Medium
1,2,0,1.0,Low
1,1,0,2.0,Low
3,1,1,2.0,High
2,2,0,1.0,Low
3,1,2,3.0,Medium
3,2,0,2.0,Medium
2,1,2,2.0,Medium
3,1,1,2.0,Medium
1,1,1,2.0,Medium
3,2,0,1.0,Medium
2,2,0,2.0,Medium
3,1,0,2.0,Medium
3,2,0,2.0,Medium
3,2,0,2.0,Medium
3,1,2,3.0,High
1,1,1,2.0,Medium
3,2,2,2.0,Medium
1,2,1,2.0,Low
2,1,1,2.0,Medium
3,1,1,2.0,Medium
3,2,0,1.0,Medium
3,1,1,2.0,Medium
3,2,2,3.0,Medium
1,2,0,1.0,Medium
2,1,1,2.0,Medium
1,2,0,1.0,Low
1,1,1,2.0,Medium
3,1,0,1.0,Medium
1,2,0,2.0,Medium
3,1,2,2.0,Medium
3,2,2,3.0,Medium
3,1,2,2.0,High
3,2,0,2.0,Medium
1,1,1,2.0,Low
1,1,1,2.0,Medium
2,2,0,2.0,Low
3,2,2,2.0,Medium
3,1,1,2.0,Medium
1,2,0,1.0,Medium
3,2,0,1.0,Medium
3,2,2,2.0,High
3,1,1,2.0,Medium
3,1,2,2.0,Medium
3,2,2,2.0,Medium
3,1,2,2.0,High
3,2,0,2.0,Medium
1,2,0,1.0,Low
1,1,1,2.0,Medium
3,1,1,2.0,Medium
3,2,2,2.0,High
3,1,0,2.0,Medium
3,2,0,1.0,Medium
1,1,1,3.0,Medium
1,1,0,2.0,Medium
3,1,1,2.0,Medium
1,2,0,2.0,Low
3,1,2,2.0,Medium
1,1,1,3.0,Medium
3,2,0,1.0,Medium
2,2,2,2.0,Medium
1,2,0,2.0,Low
1,1,1,3.0,Medium
3,1,0,2.0,Medium
3,2,0,1.0,Medium
1,2,1,2.0,Medium
3,2,2,3.0,Medium
3,1,2,2.0,Medium
1,2,0,2.0,Medium
2,2,0,2.0,Low
2,2,2,3.0,Medium
3,2,2,2.0,Medium
1,1,1,2.0,Low
3,2,0,1.0,Medium
1,2,1,3.0,Medium
3,1,1,2.0,Medium
2,2,2,2.0,Medium
3,1,2,3.0,High
3,2,0,1.0,Medium
3,2,0,1.0,Medium
3,2,2,2.0,Medium
1,2,0,2.0,Low
2,1,2,2.0,Medium
1,2,1,2.0,Medium
2,1,2,2.0,Medium
3,2,2,3.0,High
3,1,1,2.0,Medium
2,2,2,2.0,Medium
1,1,0,2.0,Medium
3,2,0,2.0,Medium
3,1,2,2.0,High
3,2,2,3.0,Medium
3,2,0,2.0,Medium
1,1,0,2.0,Low
2,1,1,2.0,Low
1,2,0,1.0,Medium
3,1,2,2.0,Medium
1,2,0,1.0,Low
3,2,0,2.0,Medium
3,2,0,2.0,Medium
2,2,0,2.0,Medium
1,2,0,1.0,Low
1,1,1,3.0,Medium
1,2,1,2.0,Medium
3,2,2,3.0,Medium
3,1,0,2.0,Medium
1,1,1,2.0,Medium
1,2,0,2.0,Low
3,1,0,2.0,Medium
3,2,2,2.0,Medium
1,1,0,2.0,Low
3,2,0,2.0,Medium
1,1,1,2.0,Low
3,2,2,2.0,Medium
3,1,2,2.0,High
1,1,1,2.0,Medium
3,1,1,2.0,Medium
1,1,0,2.0,Medium
3,2,0,1.0,Medium
3,1,1,2.0,Medium
3,2,0,1.0,Medium
2,2,2,2.0,Medium
3,2,0,2.0,Medium
3,1,1,2.0,Medium
2,1,2,3.0,Medium
3,2,0,1.0,Medium
1,2,0,2.0,Medium
3,1,1,2.0,Medium
3,2,0,1.0,Medium
3,2,0,1.0,Medium
1,2,0,2.0,Medium
1,1,0,2.0,Medium
1,2,0,2.0,Low
1,1,0,2.0,Low
1,2,0,2.0,Low
3,2,0,1.0,Medium
2,2,0,2.0,Medium
1,1,0,2.0,Medium
1,2,0,1.0,Medium
3,2,0,2.0,Medium
3,1,2,2.0,Medium
3,2,0,2.0,Medium
3,1,2,3.0,High
2,2,2,2.0,Medium
3,1,2,2.0,Medium
2,1,2,2.0,Medium
3,1,2,3.0,Medium
2,2,0,1.0,Medium
1,2,0,2.0,Low
3,2,0,2.0,Medium
2,2,0,1.0,Medium
1,2,1,2.0,Low
1,1,0,2.0,Medium
3,1,1,2.0,Medium
3,2,0,2.0,Medium
1,2,1,2.0,Low
3,2,0,2.0,Medium
1,2,1,2.0,Medium
3,2,0,2.0,Medium
3,1,1,2.0,Medium
3,2,0,2.0,Medium
3,2,0,2.0,Medium
3,1,1,2.0,Medium
1,2,1,2.0,Low
1,1,1,2.0,Medium
3,1,2,2.0,Medium
3,1,2,2.0,Medium
3,1,2,3.0,High
2,1,2,3.0,Medium
3,1,2,3.0,High
1,2,1,3.0,Low
3,2,2,3.0,Medium
3,1,2,2.0,High
3,1,2,2.0,High
3,1,1,2.0,Medium
1,1,1,3.0,Medium
2,2,0,2.0,Low
2,1,1,2.0,Low
3,2,0,1.0,Medium
3,1,2,3.0,High
3,2,2,3.0,Medium
1,2,0,1.0,Low
3,2,2,2.0,Medium
3,2,0,1.0,Medium
3,2,0,2.0,Medium
1,2,0,2.0,Low
3,2,0,2.0,Medium
3,2,0,1.0,Medium
1,1,0,2.0,Low
2,2,0,1.0,Low
3,2,0,2.0,Medium
2,2,2,2.0,High
2,2,0,2.0,Low
3,1,2,2.0,High
3,1,2,2.0,High
2,2,0,2.0,Low
3,2,0,2.0,Medium
1,1,1,3.0,Low
1,1,1,3.0,Medium
1,2,0,2.0,Medium
3,1,2,2.0,High
1,2,0,1.0,Low
1,2,1,3.0,Medium
3,1,2,2.0,High
3,1,1,2.0,Medium
3,1,1,2.0,Medium
3,2,0,2.0,Medium
2,1,1,2.0,Low
1,2,0,1.0,Low
3,1,1,2.0,Medium
3,2,2,2.0,Medium
2,1,1,2.0,Medium
3,2,0,1.0,Medium
3,2,0,2.0,Medium
1,1,0,2.0,Low
1,1,0,2.0,Medium
2,1,1,2.0,Medium
3,2,0,2.0,Medium
3,1,1,2.0,Medium
1,2,0,2.0,Medium
3,2,0,2.0,Medium
3,1,2,2.0,High
1,2,1,3.0,Low
1,1,1,2.0,Low
3,2,2,2.0,Medium
3,1,1,2.0,Medium
3,2,0,1.0,Medium
1,1,0,2.0,Low
3,2,2,2.0,Medium
3,1,1,2.0,Medium
3,2,0,2.0,Medium
1,2,0,2.0,Low
3,2,0,2.0,Medium
1,1,0,2.0,Medium
2,2,0,1.0,Low
3,1,1,2.0,Medium
3,2,0,1.0,Medium
2,2,0,2.0,Low
3,2,2,2.0,High
1,1,1,2.0,Medium
1,1,0,2.0,Low
1,1,0,2.0,Low
1,2,0,2.0,Low
3,2,0,2.0,Medium
2,2,0,2.0,Low
1,1,0,2.0,Medium
2,2,0,2.0,Medium
3,1,1,2.0,High
3,2,2,2.0,Medium
3,1,1,2.0,Medium
1,2,0,1.0,Low
3,1,2,2.0,High
1,1,0,2.0,Medium
2,2,0,1.0,Low
1,2,0,1.0,Medium
2,2,0,2.0,Low
1,2,0,2.0,Low
3,1,0,1.0,Medium
3,2,2,2.0,Medium
1,2,0,2.0,Medium
3,2,0,2.0,Medium
1,2,0,2.0,Low
1,1,0,2.0,Medium
1,1,0,2.0,Low
1,1,0,2.0,Medium
2,2,0,1.0,Low
1,2,1,2.0,Medium
2,2,0,1.0,Low
3,2,0,1.0,Medium
3,2,0,1.0,Medium
2,1,1,2.0,Medium
3,2,0,1.0,Medium
3,1,1,2.0,Medium
3,2,0,2.0,Medium
1,1,0,2.0,Medium
2,1,1,2.0,Low
3,2,0,1.0,Medium
1,1,0,2.0,Medium
3,2,0,1.0,Medium
1,2,0,2.0,Low
3,1,2,3.0,High
1,2,0,2.0,Low
3,1,2,3.0,Medium
3,1,2,2.0,Medium
2,2,2,2.0,Medium
1,1,1,2.0,Low
3,1,0,1.0,Medium
1,1,1,3.0,Medium
3,1,2,3.0,High
1,2,1,2.0,Medium
1,1,1,2.0,Medium
1,1,0,2.0,Low
2,2,0,2.0,Medium
1,1,1,2.0,Medium
3,1,1,2.0,Medium
2,2,0,1.0,Low
1,2,0,2.0,Low
3,2,0,1.0,Medium
3,2,0,2.0,Medium
3,1,2,2.0,High
3,2,0,2.0,Medium
1,2,0,2.0,Medium
3,1,1,2.0,Medium
3,2,2,2.0,Medium
3,2,2,3.0,High
3,2,0,2.0,Medium
3,2,2,3.0,Medium
2,2,0,2.0,Low
1,1,0,2.0,Medium
1,1,0,2.0,Medium
1,2,1,3.0,Low
1,2,0,2.0,Low
1,2,1,3.0,Medium
2,1,2,2.0,Medium
2,2,0,1.0,Low
3,1,2,3.0,Medium
3,2,2,2.0,Medium
3,2,2,3.0,Medium
3,2,0,1.0,Medium
2,1,1,2.0,Low
2,2,0,2.0,Low
2,1,2,3.0,High
3,2,0,1.0,Medium
3,2,0,2.0,Medium
3,2,0,2.0,Medium
2,1,2,2.0,Medium
3,1,1,2.0,Medium
2,2,0,1.0,Medium
1,2,1,2.0,Low
1,2,0,1.0,Low
3,2,2,2.0,High
2,1,1,2.0,Low
3,1,2,2.0,Medium
1,2,0,2.0,Low
3,1,2,3.0,Medium
2,1,1,2.0,Medium
3,1,0,2.0,Medium
1,1,1,2.0,Medium
3,1,2,3.0,High
3,1,1,2.0,Medium
1,2,0,1.0,Low
1,1,0,2.0,Medium
1,2,0,2.0,Low
1,2,0,1.0,Low
2,1,2,2.0,Medium
1,2,0,1.0,Medium
3,2,0,2.0,Medium
1,2,1,2.0,Medium
3,2,2,3.0,High
1,1,1,3.0,Medium
3,2,0,2.0,Medium
1,1,1,2.0,Low
2,1,0,2.0,Low
3,2,2,3.0,High
3,1,2,2.0,High
3,1,1,2.0,Medium
1,1,0,2.0,Low
1,1,0,2.0,Low
1,1,1,2.0,Medium
3,2,0,2.0,Medium
3,2,2,2.0,Medium
1,2,0,2.0,Low
2,1,1,2.0,Low
3,2,0,1.0,Medium
3,2,0,2.0,Medium
1,2,0,1.0,Medium
1,1,0,2.0,Medium
1,2,0,2.0,Low
1,2,0,2.0,Low
2,2,0,2.0,Medium
1,1,1,2.0,Medium
2,2,0,2.0,Medium
3,1,2,2.0,High
3,2,0,2.0,Medium
1,1,0,2.0,Medium
3,2,0,2.0,Medium
3,1,1,2.0,Medium
2,1,2,2.0,Medium
1,1,1,2.0,Medium
3,1,2,2.0,High
3,2,0,1.0,Medium
3,2,0,1.0,Medium
3,2,0,2.0,Medium
3,2,0,1.0,Medium
3,2,0,2.0,Medium
2,1,2,2.0,Medium
3,1,0,2.0,Medium
3,1,1,2.0,Medium
3,2,0,1.0,Medium
3,2,2,2.0,High
2,2,0,2.0,Low
3,1,2,2.0,Medium
2,1,1,2.0,Medium
1,1,1,3.0,Low
1,1,1,2.0,Low
3,2,0,1.0,Medium
3,2,0,2.0,Medium
1,1,1,2.0,Low
3,2,0,2.0,Medium
3,1,0,1.0,Medium
3,2,0,1.0,Medium
3,1,1,2.0,High
3,1,1,2.0,Medium
1,2,0,2.0,Low
1,1,0,2.0,Low
1,1,0,1.0,Low
3,2,2,3.0,High
2,2,0,2.0,Low
2,2,0,2.0,Low
3,1,2,2.0,High
1,2,0,1.0,Low
3,1,2,2.0,High
3,2,0,2.0,Medium
1,2,1,3.0,Low
2,2,0,1.0,Medium
1,2,0,2.0,Low
3,1,1,2.0,Medium
1,1,0,2.0,Medium
1,1,1,2.0,Medium
3,1,1,2.0,Medium
1,2,0,2.0,Low
2,1,1,2.0,Low
2,2,2,3.0,Medium
2,2,0,1.0,Medium
3,2,2,3.0,High
2,1,2,2.0,Medium
1,1,0,2.0,Medium
3,1,2,2.0,High
1,2,0,2.0,Low
3,2,0,2.0,Medium
1,2,1,2.0,Low
1,1,0,2.0,Low
2,2,2,2.0,Medium
3,2,0,1.0,Medium
3,2,0,2.0,Medium
3,2,0,2.0,Medium
3,1,2,3.0,Medium
1,1,1,3.0,Medium
3,2,0,2.0,Medium
2,1,2,2.0,Low
1,1,0,2.0,Low
3,2,2,2.0,Medium
3,1,1,2.0,Medium
2,2,2,3.0,Low
2,1,1,2.0,Medium
3,2,0,2.0,Medium
1,2,0,1.0,Low
1,2,1,2.0,Low
1,1,1,3.0,Medium
1,1,1,2.0,Low
1,1,1,3.0,Low
3,1,1,2.0,High
1,1,0,2.0,Low
1,2,1,2.0,Low
1,2,0,1.0,Low
3,2,0,1.0,Medium
2,1,2,2.0,Medium
1,2,0,2.0,Medium
1,2,1,2.0,Low
1,1,0,2.0,Medium
1,2,1,3.0,Low
2,2,2,3.0,Medium
2,1,2,3.0,Medium
1,1,0,2.0,Medium
3,2,0,2.0,Medium
1,2,0,1.0,Medium
3,1,1,2.0,Medium
3,1,0,2.0,Medium
1,2,1,3.0,Medium
3,2,0,2.0,Medium
1,2,0,1.0,Medium
2,2,2,3.0,Low
1,2,0,1.0,Low
3,1,0,2.0,Medium
3,2,0,1.0,Medium
3,2,0,2.0,Medium
1,2,0,1.0,Low
3,2,0,2.0,Medium
3,1,2,2.0,Medium
1,2,1,3.0,Low
1,2,0,1.0,Low
3,2,0,2.0,Medium
3,2,0,1.0,Medium
3,1,1,2.0,Medium
2,1,2,3.0,Medium
1,2,1,2.0,Low
1,2,1,2.0,Low
1,1,1,2.0,Medium
3,2,0,2.0,Medium
3,1,1,2.0,Medium
3,1,0,1.0,Medium
3,1,2,2.0,Medium
3,1,1,2.0,High
3,2,0,2.0,Medium
3,2,0,2.0,Medium
1,1,1,2.0,Medium
3,2,0,2.0,Medium
3,2,0,2.0,Medium
3,2,0,1.0,High
1,2,1,2.0,Medium
2,2,0,2.0,Low
3,1,2,2.0,High
3,1,1,2.0,Medium
1,2,0,1.0,Low
3,1,0,2.0,High
3,2,2,2.0,Medium
3,2,0,2.0,Medium
3,1,2,2.0,Medium
2,1,1,2.0,Medium
2,2,0,1.0,Medium
1,1,1,2.0,Low
3,2,0,2.0,Medium
3,1,1,2.0,Medium
1,2,1,2.0,Low
3,2,0,2.0,Medium
3,2,2,2.0,Medium
3,2,0,1.0,Medium
3,2,2,3.0,High
1,2,1,2.0,Medium
